Comment,Designator,Footprint,LCSC Part #,LCSC Part Type
100n,"C37,C30,C28,C27,C26,C25,C19,C14,C11,C8,C2",0603_C,C14663,
1k,"R55,R54,R17,R13,R7,R2",0603_R,C21190,
TPS63001,U6,Texas_DRC0010J_ThermalVias,,
TPS63700DRCT,U5,Texas_DRC0010J_ThermalVias,,
10u,"C36,C35,C34,C31,C29,C24,C23,C22,C21,C20,C9,C5,C1",0805_C,C15850,
TP4056-otter,U8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm,C16581,
0.27R,R46,R_1206_3216Metric,C25334,
LiIon,"BT1,BT2",JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,,
MMBT3906,"Q10,Q8",SOT-23,C8542,
MMBT3904,"Q9,Q7,Q6,Q5",SOT-23,C2150,
100u,"C33,C32",CP_EIA-7343-43_Kemet-X,,
10k,"RV4,RV3","Potentiometer_ACP_CA9-H3,8_Horizontal",,
2.2u,L2,Inductor_4040,,
4.7u,L1,Inductor_4040,,
GND,J9,PinHeader_1x02_P2.54mm_Vertical,,
PWR,J8,PinHeader_1x03_P2.54mm_Vertical,,
BLK+CLK,J7,PinHeader_1x02_P2.54mm_Vertical,,
SPEAKER,J5,PinHeader_1x02_P2.54mm_Vertical,,
COIL_Y,J4,PinHeader_1x02_P2.54mm_Vertical,,
EXT_Y,J3,PinHeader_1x02_P2.54mm_Vertical,,
COIL_X,J2,PinHeader_1x02_P2.54mm_Vertical,,
EXT_X,J1,PinHeader_1x02_P2.54mm_Vertical,,
601,"FB3,FB2,FB1",L_0805_2012Metric,C1017,
4148,"D4,D2,D1",D_SOD-123,C81598,
SL03,D3,D_SMA,C8678,
LMV321,U9,SOT-23-5,,
CP2102N-A01-GQFN28,U7,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,C6568,
PAM8302AAD,U4,SOIC-8_150mil,C112137,
ESP32-WROVER,U3,ESP32-WROVER,,
PCM5102,U2,TSSOP-20_4.4x6.5mm_P0.65mm,C107671,
OPA2683,U1,SOIC-8_150mil,,
TBD,R53,0603_R,,
DNP,"R52,R36,R24,R20,R19,R11",0603_R,,
22,R51,0603_R,C23345,
10k,"R50,R47,R45,R44,R41,R40,R39",0603_R,C25804,
1.2k,R49,0603_R,C22765,
100k,"R48,R38,R37,R33,R23",0603_R,C25803,
5.1k,"R43,R42",0603_R,C23186,
0R,R35,0603_R,C21189,
100,"R34,R32,R30",0603_R,C22775,
10,"R31,R14,R4",0603_R,C22859,
120k,R29,0603_R,C25808,
22k,"R28,R27,R21,R15,R9,R5",0603_R,C31850,
220k,R26,0603_R,C22961,
470,"R25,R22,R12,R10,R3,R1",0603_R,C23179,
1R,"R18,R8",0603_R,C22936,
3.3k,"R16,R6",0603_R,C22978,
PZT3906,"Q4,Q2",SOT-223-3_TabPin2,,
PZT3904,"Q3,Q1",SOT-223-3_TabPin2,,
USB_C_Receptacle_USB2.0,J6,USB_C_Receptacle_Palconn_UTC16-G,,
4.7n,C18,0603_C,C53987,
220p,"C17,C12",0603_C,C1603,
1u,"C16,C13",0603_C,C15849,
10u,C15,0603_C,C14663,
10pF,C10,0603_C,C1634,
2.2u,"C7,C6",0603_C,C23630,
2.2n,"C4,C3",0603_C,C1604,
180k,RV2,sony_tune,,
10k,RV1,sony_volume,,
Power Switch,SW1,sony_slide_switch,,
